time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-13T10:54:31.661Z,44.3662,-115.1906,10,4.1,mwr,,40,0.223,1.04,us,us7000cecl,2021-01-27T17:29:00.040Z,"26 km NW of Stanley, Idaho",earthquake,1.7,1.9,0.029,111,reviewed,us,us
2020-11-13T09:29:24.412Z,38.1718,-117.7965,10.1,4.3,ml,34,57.21,0.06,0.1644,nn,nn00782950,2021-01-27T17:28:59.040Z,"36 km SE of Mina, Nevada",earthquake,,0.7,0.25,15,reviewed,nn,nn
2020-11-13T09:15:31.744Z,38.1787,-117.8544,9.03,4,ml,,41,0.021,0.76,us,us7000cefr,2021-01-27T17:29:03.040Z,"32 km SE of Mina, Nevada",earthquake,1.3,6.1,0.085,18,reviewed,us,us
2020-11-13T09:13:51.862Z,38.1693,-117.8533,4.8,5.3,ml,34,38.45,0.016,0.1165,nn,nn00782942,2021-04-27T07:04:53.937Z,"33 km SE of Mina, Nevada",earthquake,,0.6,0.23,13,reviewed,nn,nn
2020-11-06T19:29:35.687Z,44.3048,-115.2554,10,4,mwr,,29,0.946,0.69,us,us7000cbhq,2021-01-23T22:25:32.040Z,"27 km WNW of Stanley, Idaho",earthquake,2.9,2,0.04,61,reviewed,us,us
2020-10-24T10:11:07.260Z,25.7224,-110.1051,10,4.6,mb,,130,0.968,0.93,us,us6000ccj8,2021-01-09T20:05:23.040Z,"78 km WSW of Las Grullas Margen Derecha, Mexico",earthquake,3.1,1.9,0.055,99,reviewed,us,us
2020-10-03T11:47:43.960Z,38.092,-112.4198333,8.34,4.42,ml,37,41,0.4559,0.21,uu,uu60412957,2021-05-05T19:12:26.576Z,"15 km SW of Circleville, Utah",earthquake,0.34,0.69,0.151,23,reviewed,uu,uu
2020-10-01T03:37:04.380Z,33.0518333,-115.575,8.65,4.02,ml,11,90,0.01473,0.21,ci,ci37456405,2020-12-12T22:28:30.040Z,"5km ENE of Westmorland, CA",earthquake,0.48,0.83,0.148,6,reviewed,ci,ci
2020-10-01T03:36:34.130Z,33.0661667,-115.5971667,5.68,4.45,mw,64,40,0.03064,0.29,ci,ci39643328,2021-02-08T05:04:36.726Z,"4km NE of Westmorland, CA",earthquake,0.21,0.51,,6,reviewed,ci,ci
2020-10-01T01:10:25.750Z,33.0443333,-115.5928333,11.39,4.12,mw,68,46,0.01099,0.29,ci,ci39641880,2021-08-26T18:10:25.930Z,"3km ENE of Westmorland, CA",earthquake,0.21,0.43,,5,reviewed,ci,ci
2020-10-01T00:58:13.850Z,33.065,-115.5931667,11.07,4.09,mw,102,41,0.02829,0.28,ci,ci39641768,2021-08-26T18:04:22.670Z,"4km NE of Westmorland, CA",earthquake,0.15,0.34,,6,reviewed,ci,ci
2020-10-01T00:41:18.390Z,33.0713333,-115.5983333,11.22,4.18,mw,68,39,0.03575,0.24,ci,ci39641616,2020-12-12T22:28:26.040Z,"4km NNE of Westmorland, CA",earthquake,0.18,0.43,,4,reviewed,ci,ci
2020-10-01T00:31:27.280Z,33.0546667,-115.5906667,14.19,4.93,mw,92,46,0.01794,0.28,ci,ci39641528,2021-08-17T20:36:55.710Z,"4km NE of Westmorland, CA",earthquake,0.2,0.44,,7,reviewed,ci,ci
2020-09-30T23:31:51.790Z,33.053,-115.5955,4.78,4.35,mw,97,46,0.01861,0.3,ci,ci39641064,2021-02-08T05:04:37.544Z,"3km NE of Westmorland, CA",earthquake,0.17,0.41,,4,reviewed,ci,ci
2020-09-24T23:06:42.138Z,27.0779,-111.2685,10,4.6,mb,,112,0.899,0.93,us,us6000c0xh,2020-12-05T21:02:57.040Z,"73 km ENE of Mulegé, Mexico",earthquake,6.9,1.9,0.057,90,reviewed,us,us
2020-09-24T23:01:30.369Z,27.1573,-111.4068,10,5.3,mww,,125,0.76,0.66,us,us6000c0ww,2020-12-05T21:02:57.040Z,"64 km ENE of Mulegé, Mexico",earthquake,7.3,1.9,0.046,45,reviewed,us,us
2020-09-19T06:38:46.930Z,34.038,-118.08,16.87,4.54,mw,236,16,0.01273,0.25,ci,ci38695658,2021-09-04T16:56:09.816Z,"3km WSW of South El Monte, CA",earthquake,0.11,0.22,,6,reviewed,ci,ci
2020-09-15T16:33:36.485Z,38.1597,-117.9623,11.6,4.2,ml,34,41.81,0.021,0.1609,nn,nn00773931,2021-02-11T23:22:18.837Z,"28 km SSE of Mina, Nevada",earthquake,,0.5,0.27,18,reviewed,nn,nn
2020-09-11T07:55:45.450Z,36.4406667,-117.9945,3.93,4.22,ml,45,66,0.06908,0.18,ci,ci38683914,2020-11-21T20:10:36.040Z,"18km SSE of Lone Pine, CA",earthquake,0.18,0.57,0.14,320,reviewed,ci,ci
2020-09-08T20:24:29.178Z,44.5345,-115.1538,10,4.4,mwr,,56,0.468,0.67,us,us7000bjzi,2020-11-17T19:44:56.040Z,"39 km NNW of Stanley, Idaho",earthquake,6.6,1.9,0.051,37,reviewed,us,us
2020-09-08T20:23:48.681Z,44.5247,-115.1794,10,4,mwr,,53,0.451,1.35,us,us7000bjyq,2020-11-17T19:44:56.040Z,"39 km NNW of Stanley, Idaho",earthquake,2.4,2,,33,reviewed,us,slm
2020-08-19T17:32:11.070Z,36.4786667,-117.5141667,-0.57,4.72,mw,53,48,0.2161,0.17,ci,ci39584648,2020-10-31T19:06:08.040Z,"36km WSW of Stovepipe Wells, CA",earthquake,0.15,0.45,,6,reviewed,ci,ci
2020-08-19T00:55:23.190Z,39.3605,-123.2458333,8.19,4.22,mw,65,33,0.06711,0.09,nc,nc73446356,2020-10-31T19:06:07.040Z,"11km ESE of Willits, CA",earthquake,0.13,0.33,,4,reviewed,nc,nc
2020-08-17T15:32:40.777Z,31.3613,-115.6231,10,4.3,mwr,,242,0.698,0.79,us,us6000bfzq,2020-10-24T20:08:59.040Z,"59 km E of San Vicente, Mexico",earthquake,2.4,2,,6,reviewed,us,ci
2020-08-17T15:31:39.571Z,31.4138,-115.7552,10,4.5,mb,,229,0.611,0.47,us,us6000bg04,2020-10-24T20:08:59.040Z,"47 km ENE of San Vicente, Mexico",earthquake,2.7,1.8,0.27,5,reviewed,us,us
2020-08-17T15:30:33.530Z,31.5366667,-115.6613333,16.22,5.12,mw,42,231,0.5267,0.34,ci,ci39347679,2021-05-26T02:50:04.036Z,"88km ESE of Maneadero, B.C., MX",earthquake,0.72,0.81,,6,reviewed,ci,ci
2020-08-17T15:09:03.818Z,31.4445,-115.5807,10,4.4,mwr,,98,0.64,0.64,us,us6000bfyt,2021-02-19T19:22:19.139Z,"64 km ENE of San Vicente, Mexico",earthquake,3.4,2,0.037,69,reviewed,us,us
2020-08-10T19:29:29.720Z,33.2653333,-115.6841667,2.87,4.03,mw,86,40,0.08923,0.25,ci,ci39339191,2020-10-21T22:04:05.040Z,"10km SSE of Bombay Beach, CA",earthquake,0.19,0.4,,4,reviewed,ci,ci
2020-08-10T15:56:14.330Z,33.2468333,-115.69,2.07,4.59,mw,86,40,0.08504,0.29,ci,ci39338407,2020-10-21T22:04:04.040Z,"12km SSE of Bombay Beach, CA",earthquake,0.21,31.61,,7,reviewed,ci,ci
2020-08-09T12:07:37.650Z,36.4743333,-81.0865,4.14,5.1,mw,34,50,0.4521,0.38,se,se60324281,2021-09-17T21:12:22.865Z,"4 km SE of Sparta, North Carolina",earthquake,0.4,1.81,,0,reviewed,se,se
2020-08-08T02:11:30.459Z,44.1656,-115.0977,10,4.2,mwr,,27,0.779,0.87,us,us6000baxj,2021-01-03T17:39:56.127Z,"13 km WSW of Stanley, Idaho",earthquake,4.7,1.8,0.032,95,reviewed,us,us
2020-07-30T11:29:29.050Z,34.3016667,-118.4383333,8.85,4.17,mw,196,14,0.03917,0.26,ci,ci39322287,2021-07-17T16:31:46.331Z,"1km SE of Sylmar, CA",earthquake,0.12,0.32,,6,reviewed,ci,ci
2020-07-26T02:06:28.540Z,38.1836,-117.7546,12.6,4.4,ml,24,57.87,0.044,0.198,nn,nn00763220,2020-10-03T17:32:23.040Z,"38 km SE of Mina, Nevada",earthquake,,0.7,0.39,9,reviewed,nn,nn
2020-07-23T17:10:35.216Z,38.1053,-117.9224,11.3,4.2,ml,31,43.76,0.045,0.1212,nn,nn00762457,2021-02-16T17:23:49.894Z,"35 km SSE of Mina, Nevada",earthquake,,0.6,0.39,18,reviewed,nn,nn
2020-07-21T19:09:21.606Z,24.9708,-100.9265,10,4.2,mb,,88,2.484,1.3,us,us7000asjy,2020-09-26T16:58:44.040Z,"28 km SSW of Huachichil, Mexico",earthquake,5.1,1.9,0.066,67,reviewed,us,us
2020-07-10T08:15:23.217Z,44.0919,-115.0844,10,4.1,mwr,,106,0.255,1.39,us,us7000al8x,2020-09-19T20:58:03.040Z,"18 km SW of Stanley, Idaho",earthquake,1.8,2,0.044,49,reviewed,us,us
2020-07-06T06:12:54.847Z,38.1856,-117.8907,5.6,4.5,ml,30,48.55,0.028,0.157,nn,nn00757297,2020-09-11T22:14:19.040Z,"29 km SE of Mina, Nevada",earthquake,,0.7,0.33,10,reviewed,nn,nn
2020-06-30T09:24:23.549Z,38.1539,-117.9583,8.3,5,ml,28,44.32,0.015,0.2511,nn,nn00755218,2020-09-05T17:35:36.040Z,"29 km SSE of Mina, Nevada",earthquake,,0.9,0.28,7,reviewed,nn,nn
2020-06-25T05:20:59.627Z,44.3989,-115.1814,7.54,4.6,mwr,,75,0.34,0.64,us,us7000aanf,2020-10-08T17:26:42.977Z,"27 km NW of Stanley, Idaho",earthquake,2.6,4.7,0.028,119,reviewed,us,us
2020-06-24T17:59:19.960Z,36.456,-117.9311667,9.62,4.59,mw,44,62,0.1212,0.19,ci,ci39494008,2020-09-05T17:35:16.040Z,"19km SE of Lone Pine, CA",earthquake,0.2,0.44,,6,reviewed,ci,ci
2020-06-24T17:40:49.240Z,36.4468333,-117.9751667,4.66,5.8,mw,48,67,0.08494,0.19,ci,ci39493944,2021-09-18T04:39:54.695Z,"18km SSE of Lone Pine, CA",earthquake,0.18,0.66,,6,reviewed,ci,ci
2020-06-23T00:25:46.390Z,36.4466667,-117.984,2.26,4.65,mw,51,74,0.07783,0.22,ci,ci39490952,2021-02-13T00:11:34.391Z,"17km SSE of Lone Pine, CA",earthquake,0.19,0.83,,6,reviewed,ci,ci
2020-06-21T03:15:41.689Z,36.35883333,-97.35883333,7.78,4.2,mwr,97,35,0,0.2,ok,ok2020mcmz,2020-08-30T00:00:58.040Z,"9 km NW of Perry, Oklahoma",earthquake,,0.5,,36,reviewed,ok,us
2020-06-20T11:24:27.447Z,38.1778,-117.7965,5.6,4.1,ml,32,48.49,0.061,0.1526,nn,nn00750711,2021-02-16T19:51:32.990Z,"36 km SE of Mina, Nevada",earthquake,,1.2,0.26,15,reviewed,nn,nn
2020-06-20T03:49:55.963Z,38.1748,-117.8174,10.1,4.2,ml,33,37.8,0.044,0.1492,nn,nn00750512,2020-08-30T00:00:54.040Z,"34 km SE of Mina, Nevada",earthquake,,0.5,0.4,15,reviewed,nn,nn
2020-06-19T23:25:07.381Z,38.1733,-117.8125,9.7,4,ml,32,48.36,0.048,0.1486,nn,nn00750384,2021-04-23T20:10:31.420Z,"35 km SE of Mina, Nevada",earthquake,,0.7,0.35,15,reviewed,nn,nn
2020-06-19T20:42:21.454Z,38.1698,-117.8345,6.5,4.9,ml,21,50.72,0.03,0.1765,nn,nn00750312,2020-08-30T00:00:52.040Z,"34 km SE of Mina, Nevada",earthquake,,0.9,0.22,13,reviewed,nn,nn
2020-06-19T10:26:43.704Z,38.1716,-117.8182,11.3,4.3,ml,32,38.23,0.043,0.2135,nn,nn00750130,2020-08-30T00:00:50.040Z,"35 km SE of Mina, Nevada",earthquake,,0.7,0.3,12,reviewed,nn,nn
2020-06-14T12:11:37.617Z,44.2753,-115.048,7.64,4.2,mwr,,35,0.847,0.92,us,us6000abmx,2020-08-22T19:14:51.040Z,"10 km NW of Stanley, Idaho",earthquake,2.3,4.6,0.036,75,reviewed,us,us
2020-06-09T13:54:02.540Z,44.2927,-115.0309,10,4.2,mwr,,65,0.855,0.72,us,us6000a8i5,2020-08-24T08:15:02.319Z,"11 km NW of Stanley, Idaho",earthquake,1.9,1.9,0.029,115,reviewed,us,us
2020-06-09T13:38:54.522Z,38.1775,-117.7726,11.5,4.2,ml,31,47.11,0.054,0.1548,nn,nn00745837,2021-02-12T00:24:22.342Z,"37 km SE of Mina, Nevada",earthquake,,0.6,0.29,10,reviewed,nn,nn
2020-06-08T04:15:05.770Z,35.6376667,-117.4175,3.64,4.29,mw,46,70,0.1205,0.17,ci,ci39469848,2020-08-18T17:59:04.040Z,"14km S of Searles Valley, CA",earthquake,0.15,0.51,,6,reviewed,ci,ci
2020-06-08T03:24:05.884Z,38.2059,-117.7912,5.2,4.8,ml,32,32.66,0.041,0.174,nn,nn00744961,2020-08-18T17:59:04.040Z,"34 km SE of Mina, Nevada",earthquake,,1.1,0.46,9,reviewed,nn,nn
2020-06-06T02:28:14.899Z,38.1678,-117.8007,8.9,4.1,ml,22,47.81,0.056,0.1673,nn,nn00743758,2021-02-18T23:10:26.911Z,"36 km SE of Mina, Nevada",earthquake,,0.8,0.1,8,reviewed,nn,nn
2020-06-04T02:27:54.610Z,36.1498333,-117.9796667,2.01,4.16,mw,40,70,0.106,0.17,ci,ci39462920,2020-08-18T17:58:48.040Z,"12km NNW of Coso Junction, CA",earthquake,0.17,0.5,,6,reviewed,ci,ci
2020-06-04T01:32:11.140Z,35.6148333,-117.4281667,8.44,5.51,mw,85,45,0.0396,0.21,ci,ci39462536,2021-10-08T02:11:10.087Z,"17km S of Searles Valley, CA",earthquake,0.15,0.45,,6,reviewed,ci,ci
2020-05-31T01:07:15.780Z,38.0448333,-118.7618333,8.11,4.34,mw,60,73,0.289,0.06,nc,nc73399446,2020-08-15T20:19:54.040Z,"29km SE of Bodie, CA",earthquake,0.17,1.16,,3,reviewed,nc,nc
2020-05-29T23:43:43.155Z,38.1508,-117.9934,8.9,4,ml,24,42.34,0.029,0.1574,nn,nn00738444,2021-04-23T20:14:55.502Z,"28 km SSE of Mina, Nevada",earthquake,,0.8,0.42,12,reviewed,nn,nn
2020-05-27T16:03:23.888Z,38.1752,-117.8019,9.5,4.2,ml,32,51.09,0.056,0.1661,nn,nn00736420,2020-11-13T09:31:48.496Z,"35 km SE of Mina, Nevada",earthquake,,0.7,0.22,9,reviewed,nn,nn
2020-05-22T13:01:06.439Z,38.1286,-118.0615,6.1,4.2,ml,27,43.91,0.081,0.1907,nn,nn00731265,2021-02-11T23:00:31.934Z,"29 km S of Mina, Nevada",earthquake,,1.3,0.33,11,reviewed,nn,nn
2020-05-22T00:22:00.588Z,38.2309,-117.7939,7.2,5.1,ml,31,47.16,0.092,0.1378,nn,nn00730721,2020-08-08T18:17:48.040Z,"32 km ESE of Mina, Nevada",earthquake,,1.4,0.44,11,reviewed,nn,nn
2020-05-21T11:33:49.614Z,44.3926,-115.1563,5.67,4.4,mwr,,57,0.919,0.7,us,us70009me1,2020-08-24T05:35:03.669Z,"26 km NW of Stanley, Idaho",earthquake,2.5,5.6,0.034,83,reviewed,us,us
2020-05-20T12:38:37.405Z,38.2073,-117.7592,5.71,4.3,ml,,71,0.136,1.13,us,us6000a0ze,2020-08-08T18:17:33.040Z,"36 km ESE of Mina, Nevada",earthquake,1.1,3,0.06,36,reviewed,us,us
2020-05-20T12:36:53.447Z,38.2012,-117.7453,11.7,5,ml,20,49.32,0.128,0.1674,nn,nn00729332,2020-08-09T10:22:23.139Z,"38 km ESE of Mina, Nevada",earthquake,,1.3,0.1,4,reviewed,nn,nn
2020-05-20T09:46:16.713Z,38.1351,-118.0676,7.1,4.1,ml,28,43.62,0.085,0.1304,nn,nn00729215,2021-02-16T21:29:17.287Z,"28 km S of Mina, Nevada",earthquake,0.53,0.8,0.25,9,reviewed,nn,nn
2020-05-20T03:13:49.191Z,38.1373,-118.0667,7.1,4,ml,19,43.51,0.085,0.1152,nn,nn00728954,2021-02-18T23:49:12.419Z,"28 km S of Mina, Nevada",earthquake,,1.3,0.5,5,reviewed,nn,nn
2020-05-19T22:12:45.639Z,38.1755,-117.8535,8.1,4.6,ml,23,47.6,0.091,0.1864,nn,nn00728819,2021-02-10T16:52:07.942Z,"32 km SE of Mina, Nevada",earthquake,,1.7,0.38,10,reviewed,nn,nn
2020-05-19T15:58:31.620Z,40.4538333,-124.562,23.64,4.17,mw,25,256,0.1727,0.14,nc,nc73390316,2020-08-24T12:07:28.053Z,"28km WNW of Petrolia, CA",earthquake,1.6,0.81,,3,reviewed,nc,nc
2020-05-19T10:58:43.114Z,38.1776,-117.7921,8.4,4,ml,25,57.33,0.121,0.1299,nn,nn00728633,2021-02-19T00:53:45.208Z,"36 km SE of Mina, Nevada",earthquake,,1,0.18,7,reviewed,nn,nn
2020-05-19T09:08:33.875Z,38.1782,-117.8017,10.5,4.3,ml,25,48.55,0.125,0.1638,nn,nn00728546,2021-02-11T17:49:06.854Z,"35 km SE of Mina, Nevada",earthquake,,0.8,0.33,7,reviewed,nn,nn
2020-05-18T02:19:08.415Z,38.1651,-118.0999,5.9,4.3,ml,26,42.25,0.114,0.1793,nn,nn00727712,2021-02-11T18:00:00.260Z,"25 km S of Mina, Nevada",earthquake,,2.5,0.39,12,reviewed,nn,nn
2020-05-17T21:47:44.646Z,38.1449,-118.0462,5,4.3,ml,27,43.03,0.069,0.1438,nn,nn00727575,2021-02-11T16:27:24.226Z,"27 km SSE of Mina, Nevada",earthquake,,1.2,0.35,8,reviewed,nn,nn
2020-05-17T21:17:02.474Z,38.1749,-117.8028,10.4,4.7,ml,24,46.81,0.056,0.1201,nn,nn00727561,2021-02-10T16:19:28.315Z,"35 km SE of Mina, Nevada",earthquake,,0.8,0.14,7,reviewed,nn,nn
2020-05-17T11:53:53.336Z,38.15,-117.9553,9.6,4.5,ml,26,51.9,0.012,0.2003,nn,nn00727244,2021-02-10T18:37:20.105Z,"29 km SSE of Mina, Nevada",earthquake,,0.8,0.5,9,reviewed,nn,nn
2020-05-17T08:28:48.506Z,38.1618,-117.8439,7.3,4.3,ml,22,47.6,0.094,0.1468,nn,nn00727120,2021-02-11T18:57:51.691Z,"34 km SE of Mina, Nevada",earthquake,,1.2,0.31,8,reviewed,nn,nn
2020-05-16T23:27:14.582Z,38.1425,-118.0327,4.7,4.4,ml,23,43.07,0.058,0.1244,nn,nn00726772,2021-02-10T19:56:30.719Z,"28 km SSE of Mina, Nevada",earthquake,,1,0.21,7,reviewed,nn,nn
2020-05-16T11:50:54.310Z,38.2118,-117.7347,16.8,4.6,ml,18,49.8,0.397,0.1743,nn,nn00726353,2021-02-10T17:41:27.152Z,"38 km ESE of Mina, Nevada",earthquake,,0.8,0.26,4,reviewed,nn,nn
2020-05-16T04:12:21.434Z,38.1313,-117.9756,5,4.6,ml,28,43.49,0.333,0.263,nn,nn00726009,2020-08-02T00:30:33.040Z,"31 km SSE of Mina, Nevada",earthquake,,1.4,0.46,10,reviewed,nn,nn
2020-05-15T22:46:30.266Z,38.1692,-117.8419,10.6,4.3,ml,21,45.85,0.361,0.1373,nn,nn00725777,2021-02-11T17:02:44.685Z,"33 km SE of Mina, Nevada",earthquake,,2.2,0.28,7,reviewed,nn,nn
2020-05-15T22:15:49.953Z,38.1518,-118.0136,5.4,4.3,ml,23,42.73,0.302,0.2603,nn,nn00725752,2021-02-10T22:11:40.041Z,"27 km SSE of Mina, Nevada",earthquake,,1.5,0.25,8,reviewed,nn,nn
2020-05-15T21:59:43.287Z,38.1656,-117.7984,6.1,4.2,ml,21,47.89,0.387,0.1841,nn,nn00725743,2021-02-11T22:07:19.334Z,"36 km SE of Mina, Nevada",earthquake,,2.6,0.33,6,reviewed,nn,nn
2020-05-15T18:10:32.484Z,38.1858,-117.8436,6.4,4.2,ml,14,49.17,0.348,0.1958,nn,nn00725563,2021-02-12T01:10:12.531Z,"32 km SE of Mina, Nevada",earthquake,,4.3,0.23,7,reviewed,nn,nn
2020-05-15T17:50:16.941Z,38.173,-117.8295,5.8,4.7,ml,15,48.44,0.365,0.1766,nn,nn00725546,2021-04-23T20:19:13.254Z,"34 km SE of Mina, Nevada",earthquake,,3.5,0.28,7,reviewed,nn,nn
2020-05-15T15:23:24.676Z,38.1667,-117.8006,7.6,4.8,ml,14,46.65,0.385,0.1628,nn,nn00725454,2020-08-02T00:31:20.040Z,"36 km SE of Mina, Nevada",earthquake,,4.3,0.32,6,reviewed,nn,nn
2020-05-15T13:51:37.151Z,38.1692,-117.9421,6.7,4.2,ml,21,90.57,0.312,0.198,nn,nn00725387,2021-02-11T23:47:41.018Z,"28 km SSE of Mina, Nevada",earthquake,,2.8,0.54,9,reviewed,nn,nn
2020-05-15T13:02:12.301Z,38.1663,-117.7952,7.6,4.3,ml,14,46.68,0.389,0.167,nn,nn00725345,2020-08-02T00:31:33.040Z,"37 km SE of Mina, Nevada",earthquake,,2.4,0.33,6,reviewed,nn,nn
2020-05-15T12:00:41.572Z,38.1667,-117.8104,6.3,4.5,ml,17,47.15,0.38,0.1735,nn,nn00725312,2020-08-02T00:31:39.040Z,"36 km SE of Mina, Nevada",earthquake,,2.8,0.33,9,reviewed,nn,nn
2020-05-15T11:52:07.184Z,38.1469,-117.9831,5.8,4.8,ml,17,43.51,0.316,0.1775,nn,nn00725306,2020-08-02T00:31:40.040Z,"29 km SSE of Mina, Nevada",earthquake,,2,0.4,8,reviewed,nn,nn
2020-05-15T11:30:16.409Z,38.1337,-117.9888,5.5,4,ml,18,46.72,0.327,0.1651,nn,nn00725296,2020-08-02T00:31:42.040Z,"30 km SSE of Mina, Nevada",earthquake,,2.9,0.43,9,reviewed,nn,nn
2020-05-15T11:26:01.747Z,38.1811,-117.8711,6.8,5.1,ml,18,49,0.337,0.2335,nn,nn00725291,2020-08-02T00:31:42.040Z,"31 km SE of Mina, Nevada",earthquake,,8.6,0.42,10,reviewed,nn,nn
2020-05-15T11:18:12.392Z,38.1596,-117.9598,3.8,4.9,ml,14,47.97,0.314,0.178,nn,nn00725284,2020-08-02T00:31:44.040Z,"28 km SSE of Mina, Nevada",earthquake,,4.3,0.43,6,reviewed,nn,nn
2020-05-15T11:12:37.268Z,38.2029,-117.8787,6.7,4,ml,13,83.09,0.316,0.2601,nn,nn00725279,2020-08-02T00:31:45.040Z,"28 km SE of Mina, Nevada",earthquake,,3.6,0.25,3,reviewed,nn,nn
2020-05-15T11:09:09.140Z,38.1406,-117.9952,10.8,4.1,ml,10,84.4,0.318,0.1526,nn,nn00725277,2020-08-02T00:31:45.040Z,"29 km SSE of Mina, Nevada",earthquake,,1.8,0.03,2,reviewed,nn,nn
